X00,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,Target
28.28,65.02,7.426,5.253,0.025,903.0,0.41,0.0,-0.2,29.6,81.0,29.413,32.361
28.21,64.71,6.713,5.683,0.015,1342.0,-0.35,0.0,-0.2,11.0,98.0,33.283,32.353
28.26,64.88,7.726,5.179,-0.02,1898.0,-0.48,0.0,0.1,21.4,81.0,31.987,32.368
28.3,64.71,7.301,5.198,0.018,287.0,-0.48,0.0,0.0,43.8,81.0,273.24,32.422
28.23,64.99,8.501,5.131,0.1,2451.0,-0.35,0.0,-0.1,30.8,81.0,29.815,32.291
28.26,64.83,7.432,5.523,0.001,842.0,-0.44,0.0,-0.1,12.2,98.0,24.12,32.479
28.29,64.5,7.061,5.311,0.04,2290.0,-0.35,0.0,-0.1,25.2,-81.36,24.79,32.495
28.25,64.71,5.853,5.384,0.136,1683.0,-0.43,0.0,0.1,66.8,81.0,29.046,32.33
28.26,65.09,6.984,5.246,0.113,770.0,-0.11,0.0,0.1,10.0,-81.36,29.279,32.44
28.22,64.74,8.299,5.365,0.081,491.0,-0.35,0.0,-0.1,66.2,81.0,29.046,32.342
28.26,64.88,6.384,5.8,0.014,891.0,-0.35,0.0,-0.1,55.2,98.0,23.187,32.322
28.27,64.71,7.913,5.629,0.113,861.0,0.45,0.0,0.1,39.0,98.0,38.86,32.41
28.23,65.02,7.836,5.533,0.128,2076.0,0.45,0.0,0.4,29.0,-81.36,26.264,32.406
28.25,64.74,7.517,5.447,0.042,489.0,-0.15,0.0,-0.2,10.0,98.0,38.994,32.445
28.24,64.45,6.642,5.254,0.082,2444.0,-0.43,0.0,-0.1,12.8,-81.36,24.924,32.264
28.2,64.91,7.33,5.216,0.001,1432.0,0.2,0.0,-0.1,64.4,98.0,29.949,32.428
28.23,64.88,7.557,5.482,-0.015,1464.0,-0.19,0.0,-0.2,50.4,98.0,24.12,32.345
28.3,64.89,7.863,5.18,0.099,1999.0,-0.35,0.0,-0.2,10.0,-81.36,31.987,32.357
